fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-0.8647096012360612,0.7710826020164021,-3.172674834131112,-0.9518857473474918,0.1394005558422726,-0.7942192823905386,-0.02831157126676188,-0.7018101801553692,-0.6042070437999516,-2.6027081366494724,-0.9004200243124085,5
-0.12880408448939074,0.21766065440062807,-0.2823656439708713,-0.38398043521854985,-0.2360126793752283,-0.4352049328758622,0.45896857878186226,-0.015930610439118215,-0.14409953929615887,-2.0190293862664404,,5
0.7051138171962757,-0.8310049162077122,0.5125622125197754,0.04884747383454459,0.10188257320183225,-0.29473208242551024,0.1703416523040679,0.6078544346643137,-0.8703856038556043,-0.10977603646304128,-0.5254498783622125,7
1.2884004149979984,-0.19180855838431388,0.8889338383330416,0.18034155306535876,-0.3798806019506899,-1.837991240724906,-1.104996217778248,1.0157865730991367,,0.12299706502726271,0.3529752808852093,6
0.049633442776233244,-3.0843942085664713,0.23320909985846341,-0.2811331128805335,-0.13417990516833164,0.955170265065191,0.6979804084833587,-0.1883935457423345,-0.07293597169530772,0.31168718905956083,0.4159045241481307,6
0.5526454553418363,0.3238200706400823,0.7785039101848293,-0.1878838905122592,-0.18380061272577305,0.7924117467788112,0.5684609198771429,0.9334486809504171,0.7915598865455392,-0.7234955701874523,-1.1585096238147126,5
0.10267603873248071,,0.5717097895584862,-0.1878838905122592,-0.29110174973597913,-0.4352049328758622,-1.7224764317646342,,,0.26774654953059107,0.8132841655038986,7
-1.64928292953058,-0.26166154219344767,-0.5084888895476352,-0.9518857473474918,-0.18380061272577305,-0.29473208242551024,-0.9358617806604318,-1.0642770411097981,0.36501156954349545,-0.10977603646304128,-0.9004200243124085,6
,-0.12651804534838165,,-0.38398043521854985,-0.6643286231433984,1.2178477513598769,0.22053650475621236,-2.295381425145007,0.9010842238075324,0.9549999829654074,0.2138247381987236,6
-0.12880408448939074,0.9690726539131721,-0.15580335821284083,-0.38398043521854985,-0.0640807144351717,,,0.21836455452915995,0.3196689082227927,0.5063869669419081,0.2138247381987236,6
0.10267603873248071,,0.8015870512954983,-0.8606101774069668,-0.4113158700562688,1.3527119218744519,0.8260814516692276,-1.4896634509538127,0.11443229334952072,0.4703621409840687,0.8132841655038986,7
